职位名称,公司ID,公司名称,公司规模,职位领域,工作经验,工作地点,工资水平,学历,工作性质,公司标签,职位优势
高级JAVA开发工程师,750681,孔夫子旧书网,50-150人,电商,3-5年,北京,25k-40k,本科,全职,"['领导好', '定期体检', '节日礼物', '年度旅游']",团队靠谱 餐饮免费、人性化工作、水果
Java开发工程师,296391,汇合,2000人以上,"企业服务,金融",3-5年,深圳,12k-16k,本科,全职,"['绩效奖金', '带薪年假', '管理规范', '五险一金']",六险一金周末双休加班调休
java开发工程师,356014,易宝软件科技（南京）有限公司,150-500人,移动互联网,3-5年,深圳,15k-25k,大专,全职,[],13薪，团队氛围好，
java高级开发工程师,608514,尼好ICT智慧社区,15-50人,企业服务,5-10年,杭州,15k-30k,大专,全职,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",节假日福利 生日福利 年终奖 下午茶
java开发工程师,69152,博奥特科技,500-2000人,"移动互联网,金融",1-3年,深圳,12k-14k,本科,全职,"['绩效奖金', '领导好', '帅哥多', '美女多']",前景广阔，项目稳定，假日福利
java开发工程师,35097,乐播科技,150-500人,移动互联网,3-5年,深圳,20k-35k,本科,全职,"['年底双薪', '绩效奖金', '岗位晋升', '年度旅游']",互联网 环境优 福利好
高级java开发工程师,105456,心理壹点灵,150-500人,"移动互联网,医疗丨健康",5-10年,上海,25k-35k,本科,全职,"['弹性工作', '美女多', '牛人多', '扁平管理']",平台前景好 扁平管理 团队氛围好
高级java开发工程师,105456,心理壹点灵,150-500人,"移动互联网,医疗丨健康",5-10年,杭州,25k-30k,本科,全职,"['弹性工作', '美女多', '牛人多', '扁平管理']",平台前景好 扁平管理 团队氛围好
java开发工程师,47256,NORMCORE,50-150人,"移动互联网,广告营销",3-5年,上海,15k-20k,不限,全职,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']",发展前景
java开发工程师,86061,智友网络,15-50人,"移动互联网,电商",1-3年,广州,8k-16k,本科,全职,"['绩效奖金', '年终分红', '弹性工作', '扁平管理']",氛围轻松，双休，工资高，晋升空间大
java开发工程师,135719,步峰信息,50-150人,"移动互联网,企业服务",3-5年,北京,12k-24k,本科,全职,[],环境优美
java开发工程师,135719,步峰信息,50-150人,"移动互联网,企业服务",3-5年,北京,12k-24k,本科,全职,[],环境优美
高级java开发工程师,403869,蓝奥教育,50-150人,教育,5-10年,杭州,15k-30k,本科,全职,[],打造你的精英团队
高级java开发工程师,124652,微创软件,2000人以上,"企业服务,移动互联网",3-5年,北京,18k-23k,本科,全职,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",大公司背景 加班补贴 团队氛围好
高级java开发工程师,184488,广东瀚阳轨道信息科技...,50-150人,"数据服务,信息安全",5-10年,广州,18k-25k,本科,全职,"['午餐补助', '岗位晋升', '五险一金', '定期体检']","六险一金,交通便利,节日礼品,团队氛围好"
Java开发工程师,171273,兴业数金,500-2000人,"金融,移动互联网",3-5年,成都,15k-30k,本科,全职,[],快来吧
