职位名称,公司ID,公司名称,公司规模,职位领域,工作经验,工作地点,工资水平,学历,工作性质,公司标签,职位优势
Python开发工程师,535894,易度信息,15-50人,企业服务,在校/应届,广州,6k-12k,不限,全职,"['带薪年假', '绩效奖金', '年终分红', '下午茶']",创新团队，成熟产品，全面提升
Python开发工程师,124652,微创软件,2000人以上,"企业服务,移动互联网",1-3年,北京,13k-15k,本科,全职,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",弹性办公 大平台
Python工程师,133217,乐言科技,500-2000人,企业服务,5-10年,上海,20k-35k,不限,全职,"['带薪年假', '定期体检', '弹性工作', '五险一金']",业界**团队 早期期权
python开发工程师,54255,深圳市比一比网络科技有限公司,50-150人,"电商,数据服务",5-10年,深圳,15k-20k,本科,全职,"['技能培训', '股票期权', '带薪年假', '岗位晋升']",双休、五险一金、人工智能、大数据、活动
python开发工程师,54255,深圳市比一比网络科技有限公司,50-150人,"电商,数据服务",5-10年,深圳,15k-25k,本科,全职,"['技能培训', '股票期权', '带薪年假', '岗位晋升']",双休、五险一金、人工智能、大数据、活动
python爬虫工程师,122328773,51JOB-GILI,50-150人,其他,3-5年,上海,15k-20k,大专,全职,[],爬虫
python开发工程师,117974271,uSMART盈立智投,150-500人,移动互联网 金融,3-5年,深圳,13k-25k,本科,全职,[],薪资待遇好 发展空间广阔
Python工程师,93936,生命奇点,50-150人,"医疗丨健康,数据服务",3-5年,北京,15k-25k,本科,全职,"['年底双薪', '带薪年假', '领导好', '通讯津贴']",弹性工作 绩效奖金 晋升空间 六险一金
python开发工程师,144347,青塔,50-150人,"移动互联网,数据服务",1-3年,杭州,10k-15k,本科,全职,"['午餐补助', '定期体检', '扁平管理', '年底双薪']",年轻活力的团队 不打卡
Python开发工程师,111643,富力地产,2000人以上,"移动互联网,电商",3-5年,广州,15k-30k,本科,全职,"['年底双薪', '通讯津贴', '包早、午餐', '定期体检']",大平台，福利好
python开发工程师,139837,华风爱科,15-50人,"移动互联网,数据服务",3-5年,北京,10k-20k,本科,全职,"['绩效奖金', '午餐补助', '通讯津贴', '带薪年假']",你未来成长新的支点
python开发工程师,122134487,广农数链,50-150人,电商,不限,广州,15k-30k,大专,全职,[],双休，7小时/天，有股权、法定放假
Python开发工程师,15083,寄云科技,50-150人,"移动互联网,数据服务",5-10年,北京,20k-30k,本科,全职,"['绩效奖金', '弹性工作', '年度旅游', '岗位晋升']",扁平管理、五险一金、带薪年假、股票期权
Python开发工程师,28498,快仓智能仓储,150-500人,"硬件,数据服务",不限,上海,8k-15k,本科,全职,"['股票期权', '五险一金', '弹性工作', '午餐补助']",行业前景好 发展空间大
Python开发工程师,168991,老虎集团,500-2000人,"移动互联网,金融",3-5年,北京,20k-40k,本科,全职,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']",优秀的团队，完善的福利待遇，弹性工作时间
Python开发工程师,50285,众禄基金,150-500人,"移动互联网,金融",3-5年,深圳,15k-25k,大专,全职,"['股票期权', '绩效奖金', '带薪年假', '通讯津贴']","团队氛围,高速发展,互联网金融,五险一金"
python开发工程师,424327,成都鼎安华,50-150人,"移动互联网,数据服务",不限,成都,7k-9k,本科,全职,"['绩效奖金', '通讯津贴', '年度旅游', '领导好']",加班少 晋升空间大 团队氛围好 六险一金
python开发工程师,85685,Altran （亚创）,2000人以上,"企业服务,硬件",1-3年,上海,10k-20k,本科,全职,"['年底双薪', '专项奖金', '带薪年假', '绩效奖金']",不加班
python工程师,118001179,中思拓研究院,50-150人,"数据服务,软件开发",1-3年,广州,10k-15k,本科,全职,"['专项奖金', '带薪年假', '绩效奖金', '节日礼物']",平台好，发展空间大，薪酬待遇优越
python工程师,352383,畅销家,15-50人,"电商,数据服务",1-3年,深圳,12k-24k,本科,全职,"['带薪年假', '扁平管理', '免费健身房', '生日会']",氛围好 成长快 福利好
python开发工程师,609175,创想三维,500-2000人,其他,3-5年,深圳,15k-20k,本科,全职,[],python
Python开发工程师,29211,圆通,2000人以上,物流丨运输,3-5年,杭州,12k-17k,大专,全职,"['技能培训', '免费班车', '专项奖金', '岗位晋升']","上市公司,前景好,氛围好,调薪机会多"
Python开发工程师,206460,柏睿数据,50-150人,"数据服务,信息安全",不限,武汉,7k-14k,本科,全职,"['股票期权', '专项奖金', '带薪年假', '弹性工作']",大数据 多绩效
python,272637,流体网络,50-150人,移动互联网,3-5年,北京,20k-35k,本科,全职,"['股票期权', '领导好', '扁平管理', '季度奖金']",技术氛围好 双休 不熬夜 福利待遇好
python开发,272637,流体网络,50-150人,移动互联网,3-5年,北京,18k-25k,本科,全职,"['股票期权', '领导好', '扁平管理', '季度奖金']",双休 技术氛围好 福利好 领导nice
python工程师,138751,新华互联,50-150人,"电商,消费生活",1-3年,北京,10k-20k,本科,全职,[],"免费早午餐,六险一金,定期体检,年终奖金"
python工程师,122341601,班马字库,少于15人,"软件开发,工具",3-5年,深圳,12k-18k,大专,兼职,[],兼职工作
python开发工程师,85685,Altran （亚创）,2000人以上,"企业服务,硬件",不限,上海,11k-20k,本科,全职,"['年底双薪', '专项奖金', '带薪年假', '绩效奖金']",大型外企加班少福利多
python开发工程师,1331,蓝标传媒,500-2000人,"移动互联网,广告营销",3-5年,北京,15k-25k,本科,全职,"['专项奖金', '带薪年假', '绩效奖金', '扁平管理']",技术能力最好的广告公司
python开发,103299,百旺金赋,150-500人,"移动互联网,其他",1-3年,武汉,7k-12k,本科,全职,"['年底双薪', '交通补助', '带薪年假', '定期体检']","五险一金,14薪,周末双休,免费班车"
python开发,580111,走走中国,15-50人,"电商,消费生活",3-5年,上海,20k-40k,本科,全职,"['年底双薪', '带薪年假', '交通补助', '午餐补助']",晋升空间，福利完善，年假多
python开发工程师,121835208,维堰服务,150-500人,"通讯电子,软件开发",1-3年,深圳,8k-9k,本科,全职,[],五险一金、包三餐、季度奖金、调薪
python开发工程师,122195906,四川华胜,50-150人,"硬件,软件开发",5-10年,成都,12k-17k,大专,全职,[],五险一金，早9:00晚17:30，餐补
python开发工程师,141969,厨芯科技,500-2000人,"硬件,电商",3-5年,北京,20k-35k,本科,全职,"['扁平管理', '岗位晋升', '股票期权']",五险一金 晋升空间大 扁平管理 大牛团队
python开发工程师,167844,永安在线,150-500人,信息安全,在校/应届,深圳,4k-7k,本科,实习,"['股票期权', '绩效奖金', '扁平管理', '福利待遇丰厚']",大牛多 福利好 健身房 撸猫
python开发工程师,121887755,拉勾外包,500-2000人,企业服务,3-5年,上海,12k-16k,本科,全职,[],五险一金
Python全栈工程师,487192,聚均科技,50-150人,移动互联网,3-5年,上海,20k-40k,本科,全职,"['专项奖金', '管理规范', '节日礼物', '领导好']",绩效奖金、餐费补贴、补充医疗保险、发展空间大
python开发工程师,97882,达观数据,150-500人,人工智能,3-5年,北京,15k-25k,本科,全职,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",六险一金 年假多多 AI项目 专业培训
python开发工程师,758728,数池科技,15-50人,"企业服务,社交",3-5年,深圳,13k-20k,本科,全职,"['扁平管理', '领导好', '网红营销', '新媒体营销']",硅谷技术团队 前沿技术 追求**
Python开发工程师,758728,数池科技,15-50人,"企业服务,社交",3-5年,深圳,15k-18k,本科,全职,"['扁平管理', '领导好', '网红营销', '新媒体营销']",大牛指导/工作氛围轻松/上升空间大
python开发工程师,149944,威尔视觉,50-150人,"移动互联网,文娱丨内容",3-5年,深圳,18k-35k,本科,全职,"['年底双薪', '带薪年假', '定期体检', '午餐补助']","不打卡成长空间大,六险一金,年假十天起"
Python开发工程师,128830,CloudChef,50-150人,"企业服务,数据服务",1-3年,上海,10k-20k,本科,全职,"['股票期权', '带薪年假', '定期体检', '弹性工作']",扁平化管理、六险二金、团建活动、年度旅游
python开发工程师,179065,云景科技,150-500人,"移动互联网,数据服务",1-3年,广州,8k-15k,本科,全职,"['带薪年假', '定期体检', '帅哥多', '年度旅游']",五险一金，零食供应，工作餐，弹性工作
python开发工程师,329,网易,2000人以上,电商,1-3年,广州,15k-25k,本科,全职,"['节日礼物', '技能培训', '免费班车', '带薪年假']",16薪，平台大，大牛多
python开发工程师,11783,Wisdom Garden,50-150人,教育,3-5年,西安,10k-15k,大专,全职,"['敏捷开发', 'Mac高配', '六险一金', '扁平化管理']",发展快，业务有竞争力
后端开发工程师（Go/Python）,120703987,瓦特曼,15-50人,人工智能,3-5年,北京,15k-25k,本科,全职,[],岗位发展空间大，公司行业前景好
python开发工程师,30605,赢时胜软件,500-2000人,金融,1-3年,北京,15k-25k,本科,全职,"['活动多多', '氛围轻松', '自研产品', '上市公司']",主板上市公司，有发展空间
python开发,121048,杭州盈丰软件股份有限公司,150-500人,"移动互联网,金融",1-3年,厦门,6k-10k,本科,全职,"['年终分红', '交通补助', '带薪年假', '定期体检']","五险一金,员工旅游,年终分红,定期体检"
Python开发工程师,28890,郑州创恒实业有限公司,150-500人,移动互联网,3-5年,郑州,6k-10k,本科,全职,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']","周末双休,年底双薪,全勤奖,外出旅游"
python开发工程师,16521,阳光产险信保事业部,2000人以上,金融,5-10年,北京,18k-36k,本科,全职,"['绩效奖金', '五险一金', '通讯津贴', '交通补助']",大平台，团队氛围好
python工程师,50784,蓝盾信息安全技术股份有限公司,500-2000人,信息安全,1-3年,广州,13k-25k,本科,全职,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",五险一金 带薪年假 补充医疗保险 体检
技术经理（python),367149,大亲家,15-50人,"移动互联网,社交",5-10年,上海,20k-40k,本科,全职,"['帅哥多', '美女多', '弹性工作', '扁平管理']","氛围好,90后团队,各种大神,租房便宜"
Python后端高级开发工程师-抖音/火山,62,字节跳动,2000人以上,文娱丨内容,1-3年,北京,20k-40k,本科,全职,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",六险一金
Python开发工程师,40970,中科院信工所,500-2000人,移动互联网,在校/应届,北京,7k-9k,本科,全职,"['免费班车', '带薪年假', '绩效奖金', '岗位晋升']",优秀团队，工作稳定
python开发工程师,25317,金证股份,2000人以上,金融,在校/应届,深圳,8k-13k,本科,全职,"['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']",15薪，餐补，全额五险一金，补充年假
后端工程师（Python/Golang）,746009,赛舵智能,15-50人,企业服务,3-5年,上海,20k-40k,本科,全职,[],创业公司 从0-1 充分授权 博取未来
python开发工程师,51939,浪潮通软,500-2000人,企业服务,3-5年,深圳,14k-20k,本科,全职,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",平台广，股票期权，下午茶，过年探亲费，
python开发工程师-大数据方向,42226,慧科讯业,500-2000人,文娱丨内容,3-5年,北京,15k-25k,本科,全职,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",五险一金 周末双休 年底双薪
python开发工程师,144347,青塔,50-150人,"移动互联网,数据服务",在校/应届,杭州,8k-10k,本科,全职,"['午餐补助', '定期体检', '扁平管理', '年底双薪']",双休
后端开发工程师（Java/Go/Python）,287099,乐元素游戏,500-2000人,"移动互联网,游戏",不限,北京,20k-35k,本科,全职,"['技能培训', '领导好', '节日礼物']",发展前景大 技术实力强
python开发工程师（武汉）,73354,易博天下,150-500人,"移动互联网,消费生活",3-5年,武汉,13k-26k,大专,全职,"['年底双薪', '股票期权', '带薪年假', '创业公司范儿']",上市公司 五险一金 周末双休 团队氛围好
Python 开发工程师,221192,墨云科技,50-150人,信息安全,3-5年,北京,20k-40k,本科,全职,"['股票期权', '弹性工作', '五险一金', '午餐交通补助']",股票期权、弹性工作
python后端开发工程师,221192,墨云科技,50-150人,信息安全,3-5年,南京,15k-30k,本科,全职,"['股票期权', '弹性工作', '五险一金', '午餐交通补助']",五险一金
python开发工程师（深度学习）,394190,区块节点,50-150人,移动互联网,3-5年,北京,15k-25k,本科,全职,[],上市企业 发展空间大 扁平化管理
python开发工程师,68635,润和软件,2000人以上,移动互联网,1-3年,南京,11k-22k,本科,全职,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",人工智能
python高级开发工程师,122224997,撼动软件,50-150人,软件开发,3-5年,北京,20k-25k,本科,全职,[],薪资高
python开发工程师,208798,思勰投资,15-50人,金融,1-3年,上海,20k-40k,本科,全职,"['绩效奖金', '午餐补助', '带薪年假', '定期体检']",带薪年假、免费水果零食
python后端开发工程师,22481,问卷网@爱调研,150-500人,移动互联网,3-5年,上海,18k-35k,本科,全职,"['技能培训', '节日礼物', '年底双薪', '绩效奖金']",五险一金、绩效奖金、周末双休
Python后端开发,117949810,艾迈科斯媒体科技（北京）有限公司,150-500人,"文娱丨内容,软件开发",3-5年,北京,23k-30k,本科,全职,"['年底双薪', '带薪年假', '定期体检', '弹性工作']",近亿日活，六险一金，三餐下午茶，出国旅游等
python研发工程师,194,墨齐,15-50人,"教育,游戏",1-3年,深圳,11k-20k,本科,全职,"['年轻人有激情', '优秀者在一起', '导师制', '文艺男女多']",五天制、每年加薪、14薪、个人职业前景
python后台开发工程师,22862,上海中软华腾软件系统有限公司,2000人以上,"企业服务,金融",1-3年,北京,9k-12k,本科,全职,"['绩效奖金', '带薪年假', '定期体检', '管理规范']",大平台
python爬虫及数据开发工程师,138048,房极客,150-500人,"移动互联网,企业服务",3-5年,深圳,13k-25k,本科,全职,"['高成长性', '弹性工作', '股票期权', '零食自取']","房地产领域,数据挖掘"
高级Python工程师,138048,房极客,150-500人,"移动互联网,企业服务",3-5年,深圳,15k-30k,本科,全职,"['高成长性', '弹性工作', '股票期权', '零食自取']",高配团队；发展机会；期权激励；扁平管理
Python高级开发工程师,66398,Student.com,150-500人,电商,5-10年,上海,15k-30k,本科,全职,"['技能培训', '带薪年假', '岗位晋升', '五险一金']",活力团队，技术牛人
python后端开发工程师,187673,十方融海集团,500-2000人,"移动互联网,教育",1-3年,深圳,8k-12k,本科,全职,"['美女多', '弹性工作', '扁平管理', '午餐补助']",互联网环境 年轻团队 绩效奖金
25314I-资深Python工程师,51662,陆金所,2000人以上,金融,3-5年,上海,20k-30k,本科,全职,"['年底双薪', '专项奖金', '股票期权', '绩效奖金']","五险一金,节日福利,绩效奖金"
Python高级软件工程师,108163,英荔教育,50-150人,"企业服务,教育",1-3年,广州,9k-18k,本科,全职,"['年底双薪', '午餐补助', '带薪年假', '五险一金']",双休 带薪假 年假 晋升大 气氛融洽
服务应用工程师（python）(J11725),142919,TapTap,50-150人,"游戏,社交",3-5年,上海,20k-30k,本科,全职,"['年底双薪', '绩效奖金', '交通补助', '带薪年假']",知名团队 福利好 环境优
Python讲师,321025,风变科技（深圳）有限公司,500-2000人,"移动互联网,教育",1-3年,深圳,8k-13k,本科,全职,"['专项奖金', '带薪年假', '定期体检', '六险一金']",发展前景
Python开发工程师,67960,飞脉科技,15-50人,"移动互联网,数据服务",在校/应届,武汉,5k-8k,不限,全职,"['技能培训', '年底双薪', '股票期权', '带薪年假']",双休、五险一金、半年晋升
Python研发工程师,321870,iHandy,150-500人,移动互联网,1-3年,北京,12k-24k,本科,全职,"['带薪年假', '定期体检', '文化open', '扁平化管理']",大咖与天才聚集地，弹性工作
高级python开发工程师,53903,无极慧通,50-150人,"医疗丨健康,数据服务",1-3年,北京,10k-15k,本科,全职,"['技能培训', '年底双薪', '岗位晋升', '领导好']","广阔的发展,创业公司,融洽的办公"
java PHP c++ go python,124652,微创软件,2000人以上,"企业服务,移动互联网",不限,北京,12k-17k,本科,全职,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",包三餐
后端开发工程师（C++／python）,55446,贝壳,2000人以上,房产家居,3-5年,北京,25k-45k,本科,全职,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",16薪资 三餐免费
Python开发工程师---0401,60689,视野金融,50-150人,"移动互联网,金融",3-5年,深圳,15k-25k,本科,全职,"['股票期权', '绩效奖金', '岗位晋升', '扁平管理']",五险一金 定期团建
Python数据处理开发工程师-0301,60689,视野金融,50-150人,"移动互联网,金融",3-5年,北京,10k-15k,本科,全职,"['股票期权', '绩效奖金', '岗位晋升', '扁平管理']",五险一金 定期团建
资深Python工程师,436,360,2000人以上,信息安全,5-10年,北京,30k-45k,本科,全职,"['专项奖金', '年底双薪']",六险一金 弹性时间 理发按摩 12天以上年假
python开发专家,436,360,2000人以上,信息安全,5-10年,北京,25k-30k,本科,全职,"['专项奖金', '年底双薪']","平台大,免费三餐,健身房,班车"
python运维开发工程师,184625,快乐种子,2000人以上,"教育,游戏",3-5年,上海,12k-22k,大专,全职,"['专项奖金', '股票期权', '绩效奖金', '带薪年假']",发展前景好
Python开发工程师,454889,信永中和,2000人以上,企业服务,3-5年,北京,15k-25k,本科,全职,"['带薪年假', '定期体检', '美女多', '扁平管理']","环境好,不加班,大公司"
Python工程师(J10235),42711,BBD,500-2000人,数据服务,1-3年,成都,6k-12k,本科,全职,"['带薪年假', '扁平管理', '美女多', '领导好']",大数据领域 团队氛围好 技术挑战
Python技术经理,163182,音悦荚,50-150人,"移动互联网,教育",3-5年,北京,30k-50k,大专,全职,"['年底双薪', '绩效奖金', '带薪年假', '全额五险一金']","玩音乐,期权,弹性工作,晋升空间大"
python开发工程师,117593084,丰贺信息,50-150人,企业服务,不限,上海,15k-25k,本科,全职,[],团队氛围好 做B端软件 一年一次涨薪机会
python后端开发工程师,457920,尚云技术,15-50人,"数据服务,其他",1-3年,深圳,11k-18k,大专,全职,[],工作氛围好，发展前景大，福利待遇好
python后端开发工程师,457920,尚云技术,15-50人,"数据服务,其他",1-3年,深圳,11k-18k,本科,全职,[],个人成长快，福利待遇好，发展空间大
Python开发工程师,24102,Hypers,150-500人,移动互联网,不限,上海,8k-15k,不限,全职,"['绩效奖金', '五险一金', '带薪年假', '年度旅游']",扁平化 成长快 氛围好
python web开发工程师,404,傲冠软件,150-500人,企业服务,1-3年,深圳,10k-20k,大专,全职,"['五险一金', '股票期权', '定期体检', '带薪年假']",五险一金 年终分红 带薪年假 定期体检
Python后端开发工程师,55021,坚果云,50-150人,"企业服务,数据服务",1-3年,上海,25k-40k,本科,全职,"['技能培训', '带薪年假', '五险一金', '住房补贴']",高并发系统，前沿技术，管理扁平
python开发工程师,120477308,中科世通亨奇,15-50人,"人工智能,软件开发",3-5年,北京,16k-25k,本科,全职,[],open管理 项目、人工智能方向产品的研发
Python数据开发工程师,161720,平安金服,2000人以上,金融,5-10年,上海,20k-40k,本科,全职,[],银行体系内部编制
python爬虫工程师,97901,闲猫互动,50-150人,"移动互联网,广告营销",不限,深圳,10k-20k,不限,兼职,"['节日礼物', '年底双薪', '绩效奖金', '扁平管理']",公司氛围好 薪资待遇好 发展潜力好
python开发工程师,47026,云和恩墨,500-2000人,数据服务,5-10年,西安,14k-20k,本科,全职,"['年底双薪', '技能培训', '节日礼物', '带薪年假']",行业领先 持续盈利 团队nice 福利多多
Python开发工程师-风控（技术平台）,36031,一起教育科技,2000人以上,"移动互联网,教育",3-5年,北京,15k-30k,本科,全职,"['节日礼物', '岗位晋升', '扁平管理', '领导好']",企业福利 平台 发展空间 团队氛围
Python高级工程师（技术平台）,36031,一起教育科技,2000人以上,"移动互联网,教育",5-10年,北京,25k-50k,本科,全职,"['节日礼物', '岗位晋升', '扁平管理', '领导好']",轻松的氛围 六险一金 福利年假 绩效奖金
Python开发实习生0541,73876,蓝诺微银,150-500人,移动互联网,在校/应届,北京,5k-6k,本科,全职,"['技能培训', '节日礼物', '年底双薪', '带薪年假']","弹性工作,千万级用户,高并发系统"
后端开发（python）,422506,纳纳科技,50-150人,"企业服务,数据服务",3-5年,上海,17k-25k,本科,全职,"['年底双薪', '专项奖金', '交通补助', '定期体检']",平台好 业务稳 氛围佳 福利多
python爬虫工程师,42226,慧科讯业,500-2000人,文娱丨内容,3-5年,深圳,15k-25k,本科,全职,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",全球最大的中文媒体信息集成与资讯服务商
自动化测试工程师（会Python）,122150155,莱柏沃亚,50-150人,"人工智能,软件开发",5-10年,北京,25k-35k,本科,全职,[],发展空间大
python中级开发工程师,432370,哥本巷,15-50人,"移动互联网,数据服务",3-5年,武汉,10k-20k,本科,全职,"['绩效奖金', '午餐补助', '带薪年假', '节日礼物']",五险一金，餐补，带薪年假，双休
python后端开发工程师,95330,数絮,少于15人,"企业服务,数据服务",不限,北京,10k-15k,本科,全职,"['技能培训', '专项奖金', '股票期权', '绩效奖金']",发展前景
1131BN-python运维开发工程师,24748,平安科技,2000人以上,金融,3-5年,上海,15k-30k,本科,全职,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']","五险一金,绩效奖金,带薪年假,定期体检"
python工程师,40974,数鹏通科技,150-500人,移动互联网,1-3年,广州,8k-12k,本科,全职,"['技能培训', '五险一金', '岗位晋升']",周末双休 五险一金 年度体检
python开发工程师,24780,诚迈科技,2000人以上,移动互联网,3-5年,成都,12k-18k,本科,全职,"['年底双薪', '专项奖金', '交通补助', '午餐补助']",福利待遇好
python运维工程师,559109,宝高科技,50-150人,"移动互联网,广告营销",3-5年,武汉,10k-16k,大专,全职,[],"竞争力薪资,人性化福利,发展机会多"
Python后端工程师,145597,云势软件,150-500人,企业服务,3-5年,北京,18k-25k,本科,全职,"['年底双薪', '专项奖金', '绩效奖金', '带薪年假']","六险一金,团队优秀,带薪年假,扁平管理"
Python服务器开发,6868,tap4fun,500-2000人,游戏,3-5年,成都,15k-30k,本科,全职,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",广阔发展平台
python开发工程师,16799,猿辅导,2000人以上,"移动互联网,教育",3-5年,北京,25k-50k,本科,全职,"['股票期权', '年底双薪', '五险一金', '带薪年假']",五一9天假、7000元旅游津贴、大牛团队
高级Python开发工程师,11933,Netis,150-500人,数据服务,3-5年,上海,14k-28k,本科,全职,"['节日礼物', '技能培训', '年底双薪', '带薪年假']",弹性工时 年终双薪 带薪年假 年度旅游等
Python答疑老师,13789,扇贝,150-500人,"移动互联网,教育",不限,南京,5k-9k,不限,全职,"['节日礼物', '带薪年假', '扁平管理', '定期体检']","福利好,团队棒,个人成长快"
python开发工程师,121816330,东驰科技,50-150人,"软件开发,物联网",1-3年,杭州,10k-15k,本科,全职,[],团队实力强
Python后端开发,422506,纳纳科技,50-150人,"企业服务,数据服务",3-5年,上海,15k-25k,本科,全职,"['年底双薪', '专项奖金', '交通补助', '定期体检']",平台好 业务稳 氛围好 福利多
高级python开发,422506,纳纳科技,50-150人,"企业服务,数据服务",3-5年,上海,20k-26k,本科,全职,"['年底双薪', '专项奖金', '交通补助', '定期体检']",平台好 业务稳 氛围好 福利多
python开发工程师/GO开发工程师,493877,必示科技,150-500人,人工智能,3-5年,北京,20k-40k,本科,全职,"['五险一金', '带薪年假', '无限零食', '极客氛围']",五险一金
Python/PHP/Go后端开发工程师,25592,新浪网,2000人以上,文娱丨内容,不限,北京,18k-36k,本科,全职,"['免费班车', '岗位晋升', '五险一金', '定期体检']",免费健身房、免费班车、免费早餐
奇秀-Python后端研发工程师--3532,1686,爱奇艺,2000人以上,文娱丨内容,3-5年,上海,20k-35k,本科,全职,"['绩效奖金', '五险一金', '交通补助', '带薪年假']","发展空间大,福利待遇好"
Python开发工程师,88,木瓜移动,150-500人,移动互联网,1-3年,北京,20k-35k,本科,全职,"['五险一金', '岗位晋升', '技能培训', '定期体检']",海外市场，团队氛围好，牛人多
Python高级工程师,37571,思贤科技,50-150人,"移动互联网,数据服务",5-10年,上海,16k-30k,本科,全职,"['技能培训', '绩效奖金', '岗位晋升', '管理规范']",薪资高；发展前景好；人工智能大数据行业
python开发工程师,20615,聚微,50-150人,"移动互联网,数据服务",1年以下,北京,8k-16k,本科,全职,"['股票期权', '绩效奖金', '五险一金', '弹性工作']",弹性工作制，领导好，有前景，有奖金
Python后端开发高级工程师,279882,中科弘云,15-50人,"数据服务,其他",3-5年,南京,12k-18k,本科,全职,"['股票期权', '绩效奖金', '年度旅游', '五险一金']",股权激励，13薪
python实习生,348784,知衣科技,50-150人,"移动互联网,电商",在校/应届,杭州,2k-3k,本科,实习,"['大牛团队', '扁平管理', '年底双薪', '股票期权']",大牛团队 大数据产品
python开发,85685,Altran （亚创）,2000人以上,"企业服务,硬件",1-3年,上海,10k-15k,本科,全职,"['年底双薪', '专项奖金', '带薪年假', '绩效奖金']",六险一金
python开发工程师,82941460,腾云忆想,500-2000人,移动互联网,3-5年,上海,11k-22k,大专,全职,[],五险一金 双休
python爬虫工程师,119752,Oneway.mobi,15-50人,移动互联网,不限,广州,10k-15k,大专,全职,"['绩效奖金', '年终分红', '弹性工作', '定期体检']",游戏 直播 电商 餐补 下午茶 双休
Python开发,65313,浙江保融,500-2000人,金融,3-5年,杭州,15k-25k,本科,全职,"['年底双薪', '节日礼物', '岗位晋升', '通讯津贴']",年终奖2个月起，周末双休
python开发工程师,22897,信用飞/首付游,150-500人,移动互联网,5-10年,上海,20k-40k,本科,全职,"['节日礼物', '带薪年假', '岗位晋升', '年度旅游']",待遇好，福利好
python后台开发工程师,62363,万科,2000人以上,房产家居,3-5年,深圳,20k-35k,本科,全职,"['绩效奖金', '岗位晋升', '管理规范', '通讯津贴']","世界五百强,地产龙头,薪资福利佳,挑战大"
数据工程师(python北京),91667,聚宽 JoinQuant,50-150人,"金融,数据服务",1-3年,北京,15k-25k,本科,全职,"['股票期权', '带薪年假', '扁平管理', '定期体检']",有发展，扁平管理，领导超好
Python实习,87029,有鱼智能科技,150-500人,"移动互联网,金融",在校/应届,北京,5k-7k,硕士,实习,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']","上市集团,香港券商,环境好，牛人多"
Python后端开发实习,367149,大亲家,15-50人,"移动互联网,社交",在校/应届,上海,4k-7k,本科,实习,"['帅哥多', '美女多', '弹性工作', '扁平管理']",技术大牛；花园环境；95后可爱小姐姐
Python开发工程师 (MJ000957),467414,食亨,500-2000人,"消费生活,移动互联网",3-5年,上海,15k-25k,本科,全职,"['绩效奖金', '专项奖金', '节日礼物', '领导好']",技术氛围 绩效奖金 小独角兽公司
python工程师,202633,小象优品,500-2000人,"移动互联网,电商",3-5年,上海,15k-25k,硕士,全职,"['带薪年假', '通讯津贴', '定期体检', '绩效奖金']",项目奖金 成熟的技术环境
python开发工程师,6462,安恒信息,500-2000人,"信息安全,数据服务",3-5年,杭州,15k-25k,本科,全职,"['年终分红', '股票期权', '绩效奖金', '五险一金']",五险一金 带薪年假 国内外旅游
python后端,28807,森果,50-150人,"移动互联网,企业服务",1-3年,武汉,9k-15k,本科,全职,"['股票期权', '弹性工作', '节日礼物', '领导好']",技术大牛，项目奖金，自主研发，提供mac
python开发工程师G00345,5002,谷露软件,50-150人,"数据服务,企业服务",1-3年,上海,20k-40k,本科,全职,"['团队融洽', '股票期权', '扁平管理', '通讯津贴']",极客团队，大牛多，技术氛围好
Python后端开发工程师,131846,Shopee,500-2000人,电商,3-5年,深圳,20k-35k,本科,全职,"['外企氛围', '蓝海市场', '大牛多多', '15天年假']",福利待遇、五险一金、带薪年假
python开发工程师,117975216,软通,2000人以上,软件开发,1-3年,西安,10k-20k,大专,全职,[],工作环境优美，领导nice
python人工智能讲师,120779274,四合天地,50-150人,"人工智能,物联网",1-3年,北京,15k-25k,本科,全职,[],发展空间大
python工程师,87747,窄门集团,50-150人,"移动互联网,金融",3-5年,北京,15k-25k,大专,全职,"['技能培训', '节日礼物', '股票期权', '带薪年假']",五险一金，周末双休，定期体检，年底双薪
Python后端工程师,749260,海钻网络,15-50人,金融,3-5年,上海,20k-35k,本科,全职,[],0.5-3个月年度绩效奖金
python开发工程师,452066,博彦科技,2000人以上,"移动互联网,电商",3-5年,西安,10k-20k,本科,全职,"['领导好', '技能培训', '管理规范', '扁平管理']",python 数据挖掘 机器学习
